"skills","demand_count","avg_salary","skill_category"
"powerbi","49","","Low Priority"
"google chat","24","","Low Priority"
"symfony","22","","Low Priority"
"wsl","16","","Low Priority"
"tidyr","16","","Low Priority"
"nuix","13","","Low Priority"
"ionic","12","","Low Priority"
"play framework","10","","Low Priority"
"powerbi","9","","Low Priority"
"microsoft lists","8","","Low Priority"
"sqlserver","7","","Low Priority"
"debian","9","196500","Specialized"
"ringcentral","26","182500","Specialized"
"mongo","536","170715","Specialized"
"lua","18","170500","Specialized"
"dplyr","110","160667","Specialized"
"haskell","7","155758","Specialized"
"asp.net core","12","155000","Specialized"
"node","187","154408","Specialized"
"cassandra","840","154124","Specialized"
"solidity","59","153640","Specialized"
"watson","167","152844","Specialized"
"codecommit","12","152289","Specialized"
"rshiny","138","151611","Specialized"
"hugging face","46","148648","Specialized"
"neo4j","345","147708","Specialized"
"scala","3717","145120","Strategic"
"mlr","14","145000","Specialized"
"kafka","2807","144754","Specialized"
"pytorch","1547","144470","Specialized"
"couchdb","7","144167","Specialized"
"mxnet","68","143695","Specialized"
"theano","44","143404","Specialized"
"shell","1884","143370","Specialized"
"golang","186","143139","Specialized"
"airflow","3447","142386","Strategic"
"tensorflow","1973","142370","Specialized"
"spark","8879","141734","Strategic"
"heroku","19","141667","Specialized"
"redshift","3637","140792","Strategic"
"airtable","103","140615","Specialized"
"ruby on rails","42","140130","Specialized"
"scikit-learn","1376","139603","Specialized"
"dynamodb","424","139548","Specialized"
"rust","134","139349","Specialized"
"clojure","22","139342","Specialized"
"redis","234","139213","Specialized"
"atlassian","423","138651","Specialized"
"hadoop","6334","138574","Strategic"
"snowflake","8411","137960","Strategic"
"kubernetes","1532","137949","Specialized"
"pandas","3828","137518","Strategic"
"openstack","32","137455","Specialized"
"nosql","4019","137039","Strategic"
"numpy","2144","136809","Specialized"
"fastapi","84","136574","Specialized"
"aws","13724","136481","Strategic"
"java","7876","136210","Strategic"
"keras","616","136026","Specialized"
"c","3518","135987","Strategic"
"splunk","874","135746","Specialized"
"next.js","12","135663","Specialized"
"kotlin","113","135639","Specialized"
"seaborn","543","135501","Specialized"
"mysql","4029","135432","Strategic"
"pyspark","2436","135011","Specialized"
"perl","711","134374","Specialized"
"jupyter","1258","133829","Specialized"
"c++","2480","133733","Specialized"
"bigquery","4134","133649","Strategic"
"no-sql","266","133556","Specialized"
"terraform","734","133161","Specialized"
"elasticsearch","692","132742","Specialized"
"asana","197","132697","Specialized"
"matplotlib","1285","132508","Specialized"
"python","68369","132440","Strategic"
"arch","68","132376","Specialized"
"datarobot","78","132211","Specialized"
"typescript","244","132149","Specialized"
"docker","2085","132040","Specialized"
"flask","359","131959","Specialized"
"couchbase","48","131959","Specialized"
"objective-c","13","131825","Specialized"
"gcp","4569","131738","Strategic"
"go","9034","131689","Strategic"
"plotly","607","131610","Specialized"
"databricks","4581","131525","Strategic"
"aurora","307","131308","Specialized"
"mongodb","1516","131207","Specialized"
"mongodb","1516","131207","Specialized"
"express","2035","131088","Specialized"
"ruby","433","130712","Specialized"
"ruby","433","130712","Specialized"
"azure","14103","130433","Strategic"
"gitlab","701","130257","Specialized"
"gdpr","2126","130194","Specialized"
"vue","913","129863","Specialized"
"nltk","121","129738","Specialized"
"svn","84","129287","Specialized"
"tidyverse","127","129103","Specialized"
"looker","6929","129006","Strategic"
"jenkins","1228","128872","Specialized"
"graphql","146","128659","Specialized"
"linux","2461","128614","Specialized"
"django","314","128528","Specialized"
"zoom","524","128427","Specialized"
"julia","322","128319","Specialized"
"git","4217","128316","Strategic"
"ibm cloud","219","127753","Specialized"
"ubuntu","45","127649","Specialized"
"r","34090","127115","Strategic"
"opencv","126","127034","Specialized"
"notion","407","127007","Specialized"
"ggplot2","224","126630","Specialized"
"unity","317","126608","Specialized"
"postgresql","2451","126401","Specialized"
"bitbucket","442","126316","Specialized"
"chef","778","126314","Specialized"
"twilio","36","126210","Specialized"
"node.js","209","126156","Specialized"
"centos","45","125953","Specialized"
"angular","476","125600","Specialized"
"ansible","313","124991","Specialized"
"sqlite","71","124976","Specialized"
"sql","102519","124935","Strategic"
"github","1987","124816","Specialized"
"vmware","205","124486","Specialized"
"jira","5254","124154","Strategic"
"php","973","123898","Specialized"
"bash","747","123893","Specialized"
"react","972","123799","Specialized"
"confluence","2124","123223","Specialized"
"phoenix","430","122996","Specialized"
"puppet","72","122649","Low Priority"
"c#","2079","122307","Low Priority"
"unix","1480","122118","Low Priority"
"matlab","2403","122048","Low Priority"
"erlang","19","121583","Low Priority"
"redhat","52","121467","Low Priority"
"unify","278","120251","Low Priority"
"flow","8055","120211","Commodity"
"slack","508","120118","Low Priority"
"swift","364","119972","Low Priority"
"selenium","190","119914","Low Priority"
"db2","1141","119824","Low Priority"
"microstrategy","1740","119563","Low Priority"
"spring","932","119397","Low Priority"
"mariadb","142","119354","Low Priority"
"groovy","89","119251","Low Priority"
"cordova","36","117921","Low Priority"
"powershell","824","116803","Low Priority"
"tableau","49725","116796","Commodity"
"oracle","11435","115125","Commodity"
"qlik","5959","115040","Commodity"
"javascript","5209","114837","Commodity"
"electron","39","114678","Low Priority"
"jquery","254","114645","Low Priority"
"react.js","24","114450","Low Priority"
"css","1156","113897","Low Priority"
"assembly","599","113119","Low Priority"
"alteryx","4841","112907","Commodity"
"sas","15097","112788","Commodity"
"sas","15097","112788","Commodity"
"unreal","46","112667","Low Priority"
"sql server","9289","112487","Commodity"
"t-sql","1620","112403","Low Priority"
"ssis","3509","112265","Commodity"
"elixir","31","112073","Low Priority"
"yarn","133","111963","Low Priority"
"pulumi","12","111772","Low Priority"
"terminal","629","111582","Low Priority"
"asp.net","208","110963","Low Priority"
"fortran","42","110083","Low Priority"
"qt","9","110000","Low Priority"
"windows","2267","109718","Low Priority"
"html","1979","109678","Low Priority"
"sass","44","109585","Low Priority"
"dax","3525","109408","Commodity"
"firebase","426","109095","Low Priority"
"firebase","426","109095","Low Priority"
"sap","11617","108103","Commodity"
"power bi","41013","106738","Commodity"
"cobol","95","106497","Low Priority"
"macos","184","105771","Low Priority"
"dart","72","105373","Low Priority"
"drupal","44","105234","Low Priority"
"clickup","23","105000","Low Priority"
"vue.js","30","104958","Low Priority"
"lisp","12","104124","Low Priority"
"visio","2345","103749","Low Priority"
"ssrs","2922","103189","Low Priority"
"spss","4975","102627","Commodity"
"vba","7032","101846","Commodity"
"cognos","2227","101469","Low Priority"
"wrike","40","101250","Low Priority"
"wire","110","100704","Low Priority"
"crystal","1239","99942","Low Priority"
"excel","68723","99751","Commodity"
"powerpoint","14280","99160","Commodity"
"word","14076","99012","Commodity"
"sharepoint","4221","98611","Commodity"
"visual basic","1114","98511","Low Priority"
"delphi","18","98496","Low Priority"
"symphony","61","98400","Low Priority"
"workfront","36","97841","Low Priority"
