job_id,job_title,job_location,job_schedule_type,salary_year_avg,company_name
647273,Data Scientist,Philippines,Full-time," $164,000 ",World Vision
195872,Analytics Engineer,Philippines,Contractor," $139,216 ",InDebted
1294162,"Sr. Research Analyst, Aluminum and Ferrous Metals",Philippines,Full-time," $111,984 ",S&P Global
830180,Data Analyst,Philippines,Full-time," $111,175 ",Curated
784428,Research Analyst,Philippines,Full-time," $99,180 ",FactSet
37518,Data Analyst - mid-level,Philippines,Contractor," $98,500 ",InDebted
318607,Data Operations Engineer (Support) Philippines,Philippines,Full-time," $80,000 ",Tamr
304908,Data Analyst - 6 month's contract,Philippines,Contractor," $69,900 ",RepRisk AG
394739,Data Analytics and Systems Lead,Philippines,Full-time," $64,800 ",Nestlé
245658,Data Analytics,Philippines,Full-time," $25,920 ",Airbus
