"skills","demand_count","avg_salary","skill_category"
"mongo","262","170715","Specialized"
"dplyr","21","160667","Specialized"
"node","65","154408","Specialized"
"cassandra","530","154124","Specialized"
"solidity","10","153640","Specialized"
"watson","32","152844","Specialized"
"codecommit","6","152289","Specialized"
"rshiny","29","151611","Specialized"
"hugging face","37","148648","Specialized"
"neo4j","124","147708","Specialized"
"scala","1914","145120","Strategic"
"kafka","1644","144754","Strategic"
"pytorch","1081","144470","Strategic"
"mxnet","50","143695","Specialized"
"theano","37","143404","Specialized"
"shell","737","143370","Strategic"
"golang","109","143139","Specialized"
"airflow","1507","142386","Strategic"
"tensorflow","1225","142370","Strategic"
"spark","4036","141734","Strategic"
"heroku","6","141667","Specialized"
"redshift","1524","140792","Strategic"
"airtable","24","140615","Specialized"
"ruby on rails","18","140130","Specialized"
"scikit-learn","688","139603","Strategic"
"dynamodb","221","139548","Specialized"
"rust","71","139349","Specialized"
"clojure","12","139342","Specialized"
"redis","119","139213","Specialized"
"atlassian","101","138651","Specialized"
"hadoop","2280","138574","Strategic"
"snowflake","2475","137960","Strategic"
"kubernetes","923","137949","Strategic"
"pandas","1058","137518","Strategic"
"openstack","7","137455","Specialized"
"nosql","1693","137039","Strategic"
"numpy","665","136809","Strategic"
"fastapi","48","136574","Specialized"
"aws","4969","136481","Strategic"
"java","2774","136210","Strategic"
"keras","409","136026","Specialized"
"c","612","135987","Strategic"
"splunk","162","135746","Specialized"
"next.js","8","135663","Specialized"
"kotlin","49","135639","Specialized"
"seaborn","154","135501","Specialized"
"mysql","926","135432","Strategic"
"pyspark","882","135011","Strategic"
"perl","157","134374","Specialized"
"jupyter","358","133829","Specialized"
"c++","752","133733","Strategic"
"bigquery","790","133649","Strategic"
"no-sql","92","133556","Specialized"
"terraform","469","133161","Specialized"
"elasticsearch","299","132742","Specialized"
"asana","31","132697","Specialized"
"matplotlib","374","132508","Specialized"
"python","13021","132440","Strategic"
"arch","9","132376","Specialized"
"datarobot","38","132211","Specialized"
"typescript","118","132149","Specialized"
"docker","1112","132040","Strategic"
"flask","132","131959","Specialized"
"couchbase","27","131959","Specialized"
"gcp","1256","131738","Strategic"
"go","1422","131689","Strategic"
"plotly","170","131610","Specialized"
"databricks","1527","131525","Strategic"
"aurora","128","131308","Specialized"
"mongodb","489","131207","Specialized"
